24.08.2019_07:30:59 [CRITICAL] mksbase._set_args  --  running <X> fx [runSeq] - Number of arguments (2)
24.08.2019_07:30:59 [INFO    ] app_env.get_env_vars  -- No env vars to load
24.08.2019_07:30:59 [INFO    ] app_conf.load_app_config  -- Loading config file : D:\Projects\python\debug\config\ventas.cfg
24.08.2019_07:30:59 [DEBUG   ] app_conf.load_app_config  -- Config File Variables ['ssh_host', 'ssh_user', 'ssh_pwsd', 'ssh_port', 'ssh_rmip', 'ssh_rmpt', 'db_host', 'db_user', 'db_pswd', 'db_name', 'db_port']
24.08.2019_07:30:59 [DEBUG   ] app_conf.load_app_config  -- App Variables ['ssh_host', 'ssh_user', 'ssh_pwsd', 'ssh_port', 'ssh_rmip', 'ssh_rmpt', 'db_host', 'db_user', 'db_pswd', 'db_name', 'db_port']
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set time => 2019-07-27 00:00:00
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set vars => 2266.0
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set time => 1906-03-17 00:00:00
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set vars => 1779175
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set time => 6771-03-21 00:00:00
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set vars => 43676.0
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set time => 2019-08-01 00:00:00
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set vars => 1648568
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set time => 6413-08-17 00:00:00
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set vars => 43676.0
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set time => 2019-08-01 00:00:00
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set vars => 1639568
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set time => 6388-12-26 00:00:00
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set vars => 43676.0
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set time => 2019-08-01 00:00:00
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set vars => 1670212
